Prompt,Answer
Generate me a new long XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Gets the form path using name"" type=""clsgetformpathusingname""/>
    <figure name=""Read KDOT App URL"" type=""readappsettings""/>
    <figure name=""Initialize Variables"" type=""updatevariable""/>
    <figure name=""Log initial form submission"" type=""clscreatetask""/>
    <figure name=""Evaluate ReviewAction"" type=""evaluatedecisions""/>
    <figure name=""Convert RouteToUserID to RouteToUserGuid"" type=""getworkflowuserid""/>
    <figure name=""Sign?"" type=""decision""/>
    <figure name=""Set Previous Task"" type=""updatevariable""/>
    <figure name=""Set Task instruction"" type=""updatevariable""/>
    <figure name=""Approve Form And Sign"" type=""choicetaskkdot""/>
    <figure name=""Get ExamExcellenceAdmin"" type=""clsgetparticipantwithrole""/>
    <figure name=""set Task instruction"" type=""updatevariable""/>
    <figure name=""Review Form"" type=""choicetaskkdot""/>
    <figure name=""Set Canceluser"" type=""updatevariable""/>
    <figure name=""Rejected instruction"" type=""updatevariable""/>
    <figure name=""Previous Task Is Approve Form And Sign"" type=""decision""/>
    <figure name=""Complete Form 1204"" type=""choicetaskkdot""/>
    <figure name=""Cancel Workflow"" type=""clsremoveonbaseattachments""/>
    <figure name=""Get WFAdmin"" type=""clsgetworkflowadministrator""/>
    <figure name=""Review Remove From DMS"" type=""choicetaskkdot""/>
    <figure name=""Create PDF"" type=""clscreatepdf""/>
    <figure name=""Add to DMS"" type=""clsaddtodms""/>
    <figure name=""Get Attachments URL"" type=""clsgetattachmenturls""/>
    <figure name=""Notification"" type=""clskdotemail""/>
    <figure name=""DMS Failure Review Instruction"" type=""updatevariable""/>
    <figure name=""Get WFAdmin1"" type=""clsgetworkflowadministrator""/>
    <figure name=""Review Add To DMS"" type=""choicetaskkdot""/>
    <figure name=""PDF Failure Review Instruction"" type=""updatevariable""/>
    <figure name=""Get task user name"" type=""clsgetproperties""/>
    <figure name=""Review Form-Consult"" type=""choicetaskkdot""/>
    <figure name=""set Task instruction2"" type=""updatevariable""/>
    <figure name=""Get task user name3"" type=""clsgetproperties""/>
    <figure name=""Cancelled Instruction"" type=""updatevariable""/>
    <figure name=""Get task user name4"" type=""clsgetproperties""/>
    <figure name=""set Task instruction5"" type=""updatevariable""/>
    <figure name=""Convert RouteToUserID to RouteToUserGuid6"" type=""getworkflowuserid""/>
    <figure name=""Get task user name7"" type=""clsgetproperties""/>
    <figure name=""Approve Form And Sign-Consult"" type=""choicetaskkdot""/>
    <figure name=""Save instruction"" type=""updatevariable""/>
    <figure name=""Set Task Instruction and Previous Task"" type=""updatevariable""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Gets the form path using name"" condition=""""/>
    <connection from=""Gets the form path using name"" to=""Read KDOT App URL"" condition=""""/>
    <connection from=""Read KDOT App URL"" to=""Initialize Variables"" condition=""""/>
    <connection from=""Initialize Variables"" to=""Log initial form submission"" condition=""""/>
    <connection from=""Evaluate ReviewAction"" to=""Set Task Instruction and Previous Task"" condition=""Save""/>
    <connection from=""Evaluate ReviewAction"" to=""Cancel Workflow"" condition=""Cancel""/>
    <connection from=""Evaluate ReviewAction"" to=""Convert RouteToUserID to RouteToUserGuid"" condition=""Proceed""/>
    <connection from=""Complete Form 1204"" to=""Evaluate ReviewAction"" condition=""Save""/>
    <connection from=""Complete Form 1204"" to=""Cancel Workflow"" condition=""Cancel""/>
    <connection from=""Convert RouteToUserID to RouteToUserGuid"" to=""Sign?"" condition=""""/>
    <connection from=""Set Task Instruction and Previous Task"" to=""Complete Form 1204"" condition=""""/>
    <connection from=""Cancel Workflow"" to=""Get WFAdmin"" condition=""error""/>
    <connection from=""Get WFAdmin"" to=""Review Remove From DMS"" condition=""""/>
    <connection from=""Review Remove From DMS"" to=""Cancel Workflow"" condition=""Cancel""/>
    <connection from=""Set Task instruction"" to=""Approve Form And Sign"" condition=""""/>
    <connection from=""Approve Form And Sign"" to=""Save instruction"" condition=""Save""/>
    <connection from=""Approve Form And Sign"" to=""Get task user name7"" condition=""Consult""/>
    <connection from=""Approve Form And Sign"" to=""Get task user name4"" condition=""Route to another for Signature""/>
    <connection from=""Approve Form And Sign"" to=""Get task user name3"" condition=""Cancel to Initiator""/>
    <connection from=""set Task instruction"" to=""Review Form"" condition=""""/>
    <connection from=""Review Form"" to=""set Task instruction2"" condition=""Save""/>
    <connection from=""Review Form"" to=""Get task user name"" condition=""Consult""/>
    <connection from=""Review Form"" to=""Create PDF"" condition=""Proceed""/>
    <connection from=""Save instruction"" to=""Approve Form And Sign"" condition=""""/>
    <connection from=""Get task user name7"" to=""Approve Form And Sign-Consult"" condition=""""/>
    <connection from=""Approve Form And Sign-Consult"" to=""Set Task instruction"" condition=""Return""/>
    <connection from=""Get task user name4"" to=""set Task instruction5"" condition=""""/>
    <connection from=""Get task user name3"" to=""Cancelled Instruction"" condition=""""/>
    <connection from=""Cancelled Instruction"" to=""Complete Form 1204"" condition=""""/>
    <connection from=""Previous Task Is Approve Form And Sign"" to=""Approve Form And Sign"" condition=""True""/>
    <connection from=""Rejected instruction"" to=""Previous Task Is Approve Form And Sign"" condition=""""/>
    <connection from=""set Task instruction2"" to=""Review Form"" condition=""""/>
    <connection from=""Get task user name"" to=""Review Form-Consult"" condition=""""/>
    <connection from=""Review Form-Consult"" to=""set Task instruction"" condition=""Return""/>
    <connection from=""Create PDF"" to=""PDF Failure Review Instruction"" condition=""error""/>
    <connection from=""Create PDF"" to=""Add to DMS"" condition=""True""/>
    <connection from=""PDF Failure Review Instruction"" to=""Get WFAdmin1"" condition=""""/>
    <connection from=""DMS Failure Review Instruction"" to=""Get WFAdmin1"" condition=""""/>
    <connection from=""Add to DMS"" to=""DMS Failure Review Instruction"" condition=""error""/>
    <connection from=""Add to DMS"" to=""Get Attachments URL"" condition=""True""/>
    <connection from=""Get WFAdmin1"" to=""Review Add To DMS"" condition=""""/>
    <connection from=""Review Add To DMS"" to=""Create PDF"" condition=""Resubmit""/>
    <connection from=""Get Attachments URL"" to=""Notification"" condition=""True""/>
    <connection from=""set Task instruction5"" to=""Convert RouteToUserID to RouteToUserGuid6"" condition=""""/>
    <connection from=""Get ExamExcellenceAdmin"" to=""set Task instruction"" condition=""""/>
    <connection from=""Complete Form 1204"" to=""Convert RouteToUserID to RouteToUserGuid"" condition=""Proceed""/>
    <connection from=""Set Previous Task"" to=""Set Task instruction"" condition=""""/>
    <connection from=""Log initial form submission"" to=""Evaluate ReviewAction"" condition=""""/>
    <connection from=""Set Canceluser"" to=""Rejected instruction"" condition=""""/>
    <connection from=""Review Form"" to=""Set Canceluser"" condition=""Cancel""/>
    <connection from=""Convert RouteToUserID to RouteToUserGuid6"" to=""Approve Form And Sign"" condition=""""/>
    <connection from=""Sign?"" to=""Get ExamExcellenceAdmin"" condition=""True""/>
    <connection from=""Approve Form And Sign"" to=""Get ExamExcellenceAdmin"" condition=""Sign and Proceed""/>
    <connection from=""Previous Task Is Approve Form And Sign"" to=""Complete Form 1204"" condition=""False""/>
    <connection from=""Sign?"" to=""Set Previous Task"" condition=""False""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Task"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Has Records?"" type=""hasdbrows""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Has Records?"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Update Variables"" type=""updatevariable""/>
    <figure name=""Update Globals"" type=""updateglobals""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Update Variables"" condition=""""/>
    <connection from=""Update Variables"" to=""Update Globals"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
  </figures>
  <connections/>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Instantiate Form"" type=""instantiateform""/>
    <figure name=""Route Form"" type=""routeform""/>
  </figures>
  <connections>
    <connection from=""Instantiate Form"" to=""Route Form"" condition=""""/>
    <connection from=""start"" to=""Instantiate Form"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""milestone"" type=""milestone""/>
    <figure name=""task"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""milestone"" condition=""""/>
    <connection from=""milestone"" to=""task"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task"" type=""task""/>
    <figure name=""Route Form to Queue"" type=""routeformtoqueue""/>
    <figure name=""Close Tasks"" type=""closeopentasks""/>
  </figures>
  <connections>
    <connection from=""Route Form to Queue"" to=""Close Tasks"" condition=""""/>
    <connection from=""start"" to=""Route Form to Queue"" condition=""""/>
    <connection from=""start"" to=""Task"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Update Globals"" type=""updateglobals""/>
    <figure name=""Expression"" type=""evalexpression""/>
  </figures>
  <connections>
    <connection from=""Update Globals"" to=""Expression"" condition=""""/>
    <connection from=""start"" to=""Update Globals"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""GET Call"" type=""restcall""/>
  </figures>
  <connections>
    <connection from=""start"" to=""GET Call"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task 1"" type=""task""/>
    <figure name=""Task 2"" type=""task""/>
  </figures>
  <connections>
    <connection from=""Task 1"" to=""Task 2"" condition=""""/>
    <connection from=""start"" to=""Task 1"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""waitformessage"" type=""waitformessage""/>
    <figure name=""Manager approval"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""waitformessage"" condition=""""/>
    <connection from=""waitformessage"" to=""Manager approval"" condition=""Evaluate""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Sub-Workflow"" type=""subworkflow""/>
    <figure name=""Task"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Task"" condition=""""/>
    <connection from=""start"" to=""Sub-Workflow"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Route Form Read only"" type=""routeform""/>
    <figure name=""Route Form file hide"" type=""routeform""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Route Form file hide"" condition=""""/>
    <connection from=""start"" to=""Route Form Read only"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""setmatrixvalue"" type=""setmatrixvalue""/>
    <figure name=""getmatrixvalue"" type=""getmatrixvalue""/>
  </figures>
  <connections>
    <connection from=""start"" to=""setmatrixvalue"" condition=""""/>
    <connection from=""setmatrixvalue"" to=""getmatrixvalue"" condition=""True""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Abort instance"" type=""abortinstance""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Abort instance"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures/>
  <connections/>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Sub-Workflow"" type=""subworkflow""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Sub-Workflow"" condition=""""/>
  </connections>
</processDiagram>"
